City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,2022-08-16 19:30:08,-33.0153,27.9116,63.21,38,100,4.74,overcast clouds
1,Aasiaat,GL,2022-08-16 19:30:09,68.7098,-52.8699,38.66,92,99,5.95,overcast clouds
2,Barrow,US,2022-08-16 19:30:09,71.2906,-156.7887,33.82,93,100,12.66,mist
3,Marmande,FR,2022-08-16 19:30:10,44.5,0.1667,73.6,90,36,3.74,scattered clouds
4,Mataura,NZ,2022-08-16 19:30:11,-46.1927,168.8643,46.83,98,99,1.99,overcast clouds
5,Solana Beach,US,2022-08-16 19:30:11,32.9912,-117.2711,101.73,70,0,10.36,clear sky
6,Cape Town,ZA,2022-08-16 19:27:33,-33.9258,18.4232,57.61,71,75,16.11,light rain
7,Kotka,FI,2022-08-16 19:30:12,60.4664,26.9458,70.86,78,73,7.94,broken clouds
8,Ushuaia,AR,2022-08-16 19:29:58,-54.8,-68.3,38.86,81,75,8.05,broken clouds
9,Kahului,US,2022-08-16 19:29:15,20.8947,-156.47,85.96,66,0,5.01,clear sky
10,Kavieng,PG,2022-08-16 19:30:13,-2.5744,150.7967,81.01,77,62,10.6,light rain
11,Hithadhoo,MV,2022-08-16 19:30:13,-0.6,73.0833,82.51,76,50,12.26,scattered clouds
12,Margate,GB,2022-08-16 19:30:14,51.3813,1.3862,71.31,86,41,1.99,scattered clouds
13,Talcahuano,CL,2022-08-16 19:30:14,-36.7167,-73.1167,51.48,100,100,17.27,overcast clouds
14,Muli,MV,2022-08-16 19:30:15,2.9167,73.5667,82.11,72,42,7.0,scattered clouds
15,Tecoanapa,MX,2022-08-16 19:30:16,16.5167,-98.75,86.59,66,90,11.07,overcast clouds
16,Tatawin,TN,2022-08-16 19:30:16,32.9297,10.4518,89.58,39,9,5.64,clear sky
17,Mount Gambier,AU,2022-08-16 19:30:17,-37.8333,140.7667,47.41,84,100,9.04,overcast clouds
18,Praia Da Vitoria,PT,2022-08-16 19:30:17,38.7333,-27.0667,73.76,73,75,11.74,broken clouds
19,Whitehorse,CA,2022-08-16 19:30:10,60.7161,-135.0538,61.11,57,75,11.5,broken clouds
20,Hermanus,ZA,2022-08-16 19:30:18,-34.4187,19.2345,48.79,81,26,11.59,scattered clouds
21,Vaini,TO,2022-08-16 19:30:18,-21.2,-175.2,71.76,83,20,17.27,few clouds
22,Lithakia,GR,2022-08-16 19:30:18,37.7167,20.8333,81.68,69,20,2.3,few clouds
23,Pacific Grove,US,2022-08-16 19:30:19,36.6177,-121.9166,80.35,76,0,10.0,clear sky
24,Rikitea,PF,2022-08-16 19:30:19,-23.1203,-134.9692,73.56,70,7,18.81,clear sky
25,Hilo,US,2022-08-16 19:30:19,19.7297,-155.09,82.62,74,40,6.91,scattered clouds
26,Narsaq,GL,2022-08-16 19:30:20,60.9167,-46.05,48.42,96,100,9.93,light rain
27,Hasaki,JP,2022-08-16 19:30:20,35.7333,140.8333,82.8,86,99,1.48,overcast clouds
28,Buala,SB,2022-08-16 19:30:20,-8.145,159.5921,79.09,77,1,5.06,clear sky
29,Puerto Colombia,CO,2022-08-16 19:30:21,10.9878,-74.9547,89.69,74,73,8.68,broken clouds
30,Hobart,AU,2022-08-16 19:30:03,-42.8794,147.3294,47.26,98,100,10.36,fog
31,Beloomut,RU,2022-08-16 19:30:22,54.9448,39.3394,67.14,57,77,8.84,broken clouds
32,Jamestown,US,2022-08-16 19:30:20,42.097,-79.2353,72.95,72,100,6.91,overcast clouds
33,Arraial Do Cabo,BR,2022-08-16 19:30:22,-22.9661,-42.0278,80.56,61,0,19.57,clear sky
34,Kapaa,US,2022-08-16 19:30:23,22.0752,-159.319,81.19,76,0,5.75,clear sky
35,Fortuna,US,2022-08-16 19:29:30,40.5982,-124.1573,65.98,87,0,6.91,clear sky
36,Souillac,MU,2022-08-16 19:30:23,-20.5167,57.5167,68.38,94,40,3.44,scattered clouds
37,New Norfolk,AU,2022-08-16 19:30:23,-42.7826,147.0587,46.92,89,79,2.82,broken clouds
38,Georgetown,MY,2022-08-16 19:30:24,5.4112,100.3354,81.9,90,20,3.44,few clouds
39,Punta Arenas,CL,2022-08-16 19:30:24,-53.15,-70.9167,41.02,75,0,16.11,clear sky
40,Albany,US,2022-08-16 19:28:18,42.6001,-73.9662,85.78,35,99,1.01,overcast clouds
41,Qorveh,IR,2022-08-16 19:30:25,35.1664,47.8045,78.55,14,35,4.65,scattered clouds
42,Iqaluit,CA,2022-08-16 19:30:12,63.7506,-68.5145,49.73,61,75,11.5,broken clouds
43,Saint-Philippe,RE,2022-08-16 19:30:26,-21.3585,55.7679,66.22,72,0,4.76,clear sky
44,Port Elizabeth,ZA,2022-08-16 19:27:32,-33.918,25.5701,59.31,55,100,3.44,overcast clouds
45,Tutoia,BR,2022-08-16 19:30:26,-2.7619,-42.2744,80.69,66,0,11.65,clear sky
46,Puerto Rico,AR,2022-08-16 19:30:27,-26.796,-55.024,70.38,85,81,2.71,broken clouds
